family,feature,transfer_prior,intl_n_obs,intl_missingness,intl_mean,intl_std,intl_competition_heterogeneity_max_smd,intl_n_competitions,intl_temporal_mean_spread_std,intl_n_seasons,club_n_obs,missingness_diff_vs_club,standardized_mean_diff_vs_club,variance_ratio_vs_club,distribution_overlap_vs_club,wasserstein_distance_vs_club,out_of_support_rate_vs_club,club_to_intl_transfer_risk,classification,classification_reasons
score_time,goals_diff,scoreline/time-state is provider-neutral and competition-neutral; expected stable,1032,0.0,0.107558,1.164068,0.2272,5,0.3764,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
score_time,score_diff_sign,scoreline/time-state is provider-neutral and competition-neutral; expected stable,1032,0.0,0.03876,0.738605,0.2497,5,0.3178,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
score_time,remaining_regulation_min,scoreline/time-state is provider-neutral and competition-neutral; expected stable,1032,0.0,37.5,16.778641,0.0,5,0.0,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
score_time,players_diff,scoreline/time-state is provider-neutral and competition-neutral; expected stable,1032,0.0,-0.001938,0.17057,0.0637,5,0.0287,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
score_time,min_since_last_shot_any,scoreline/time-state is provider-neutral and competition-neutral; expected stable,1032,0.0,3.945907,4.116232,0.0781,5,0.1327,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
chance_quality,cum_xg_total,"xG magnitude/tempo can differ club-vs-international (pace, finishing); shift risk",1032,0.0,1.208924,0.768455,0.1501,5,0.2484,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
chance_quality,cum_xg_diff,"xG magnitude/tempo can differ club-vs-international (pace, finishing); shift risk",1032,0.0,0.057497,0.758479,0.0553,5,0.0744,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
chance_quality,shots_diff,"xG magnitude/tempo can differ club-vs-international (pace, finishing); shift risk",1032,0.0,0.386628,5.554835,0.061,5,0.0864,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
chance_quality,shots_on_target_diff,"xG magnitude/tempo can differ club-vs-international (pace, finishing); shift risk",1032,0.0,0.252907,2.358506,0.1197,5,0.1829,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
chance_quality,xg_last10m_diff,"xG magnitude/tempo can differ club-vs-international (pace, finishing); shift risk",1032,0.0,0.008197,0.31358,0.056,5,0.0928,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
chance_quality,min_since_major_chance,"xG magnitude/tempo can differ club-vs-international (pace, finishing); shift risk",860,0.1667,16.489497,13.610967,0.1942,5,0.2656,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
possession_territory,poss_share_home,possession style is league-dependent; club->international shift plausible,1032,0.0,0.509118,0.154718,0.1847,5,0.298,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
possession_territory,poss_share_diff,possession style is league-dependent; club->international shift plausible,1032,0.0,0.018237,0.309436,0.1847,5,0.298,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
possession_territory,final_third_actions_diff,possession style is league-dependent; club->international shift plausible,1032,0.0,16.13469,206.781222,0.2105,5,0.29,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
possession_territory,box_entries_diff,possession style is league-dependent; club->international shift plausible,1032,0.0,2.247093,20.067152,0.2093,5,0.2742,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
possession_territory,field_tilt_home,possession style is league-dependent; club->international shift plausible,1032,0.0,0.512618,0.187241,0.1841,5,0.3227,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
transition_disruption,recoveries_diff,transition rates vary by league intensity; moderate shift risk,1032,0.0,-0.563953,8.02178,0.0935,5,0.1566,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
transition_disruption,turnovers_diff,transition rates vary by league intensity; moderate shift risk,1032,0.0,-0.002907,5.251113,0.4279,5,0.1933,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
set_pieces,corners_diff,set-piece counts are structurally comparable; low-moderate shift risk,1032,0.0,0.200581,2.939328,0.1535,5,0.2171,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
set_pieces,att_free_kicks_diff,set-piece counts are structurally comparable; low-moderate shift risk,1032,0.0,-0.075581,3.480597,0.1769,5,0.1664,4,0,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,data_insufficient,insufficient_data,club_distribution_absent_in_worktree
