id,program,source_tag,commit,data_root,manifest,counts,result,claim_status,dependencies,next_action,note,labels
corpus.research_truth_registry,api_football_historical_corpus,api-football-historical-corpus-v1,see VERSION.md,api_football_corpus,data/reference/research_truth_registry.json,"{""corpus_900_reconciled_exact"": 900, ""player_history_60_reconciled"": 60, ""union_distinct_event_files"": 1180}",900-fixture corpus reconciled exact; 900-vs-1120 + 123-vs-176 sendings-off claims resolved by scope,verified_historical,api_football_corpus_fixture_manifest.json;full_corpus_execution_manifest.json,treat as resolved provenance record; raw lives in separate gitignored worktree,"registry reconciles the 900-vs-1120 fixture and 123-vs-176 sendings-off discrepancies as scope differences; raw corpus is gitignored and not in this worktree, so counts are verified_historical (from the manifest, not re-counted from raw here)",research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
corpus.canonical_counts_ledger,api_football_historical_corpus,research-truth-full-corpus-xg-fusion-v1,see VERSION.md,api_football_corpus,data/reference/canonical_counts_ledger.json,"{""reconciled_fixtures"": 960, ""regulation_exact"": 960, ""exact_rate"": 1.0, ""canonical_sendings_off_total"": 128}","960 reconciled fixtures, regulation-exact rate 1.0",verified_historical,full_corpus_execution_manifest.json,"none; union-across-roots count, raw gitignored",union across resolved roots; raw not present in this worktree -> verified_historical,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
corpus.coverage_ledger,api_football_player_history,research-truth-full-corpus-xg-fusion-v1,see VERSION.md,api_football_player_history,data/reference/corpus_coverage_ledger.json,"{""done"": 2000, ""copied_from_prior_no_api"": 120}","player-history corpus done=2000, gate_95pct_raw_backed=True",verified_historical,player_history_corpus_manifest.json,none; coverage measured by raw across registered roots (raw gitignored here),player-history plane; raw gitignored -> verified_historical,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
bridge.api_statsbomb_exact_v1,statsbomb_xg_bridge,player-impact-xg-fusion-v1,api_statsbomb_bridge_v1,statsbomb_raw_prior,C:/Users/Mahyar/worldcup-player-impact-xg/data/processed/api_statsbomb_match_bridge_v1.csv,"{""exact_bridge_rows_recounted"": 258, ""total_accepted_audit"": 258, ""total_rejected_audit"": 266, ""per_competition"": {""FIFA World Cup 2018"": {""api_fixtures"": 64, ""sb_matches"": 64, ""accepted"": 64, ""rejected"": 0}, ""FIFA World Cup 2022"": {""api_fixtures"": 64, ""sb_matches"": 64, ""accepted"": 64, ""rejected"": 0}, ""UEFA Euro 2020"": {""api_fixtures"": 313, ""sb_matches"": 51, ""accepted"": 51, ""rejected"": 262}, ""UEFA Euro 2024"": {""api_fixtures"": 51, ""sb_matches"": 51, ""accepted"": 51, ""rejected"": 0}, ""Copa America 2024"": {""api_fixtures"": 32, ""sb_matches"": 32, ""accepted"": 28, ""rejected"": 4}}}",258 exact international api<->statsbomb match bridge rows (all comp_type=international),verified_current,api_statsbomb_match_bridge_v1.audit.json,none; canonical international population definition,"bridge CSV present and re-counted: 258 exact intl rows. Per-competition (from audit): WC2018=64, WC2022=64, Euro2020=51, Euro2024=51, Copa2024=28. This is the international population root for every downstream in-play cohort.",research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
statsbomb.cache_audit,statsbomb_xg_bridge,research-truth-full-corpus-xg-fusion-v1,see VERSION.md,statsbomb_raw_prior,data/reference/statsbomb_cache_audit.json,"{""audit_valid_cached"": 258, ""audit_xg_field_available"": 258, ""on_disk_event_json_now"": 60}",audit asserts 258 valid cached; on disk NOW: 60 StatsBomb event JSONs,contradicted,api_statsbomb_match_bridge_v1.csv,re-acquire the full StatsBomb event pull to lift the residual cohort from 58 back toward 258,"audit claims valid_cached=258 (xg_field_available=258), but the on-disk read-only StatsBomb events dir currently holds 60 event JSONs. The audit reflects a PRIOR larger pull since pruned. This is exactly why the residual eval used 58, not 258: only event files PHYSICALLY ON DISK can produce snapshots. Treat the 258 cache claim as historical; the live truth is 60 on disk.",research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
xg.snapshot_join_audit,dynamic_xg_state,research-truth-full-corpus-xg-fusion-v1,see VERSION.md,statsbomb_raw_prior,data/reference/xg_snapshot_join_audit.json,"{""xg_eligible_international_snapshots"": 4386, ""distinct_matches"": 258, ""rows_nonzero_xg"": 4323}","258 distinct xG-eligible matches, 4386 intl snapshots",verified_historical,statsbomb_cache_audit.json,recompute against current on-disk events; the 258 here predate the prune,distinct_matches=258 reflects the SAME larger pull as the cache audit; under current local data the joinable population is the 58 on-disk matches. Marked verified_historical: the audit is internally valid but describes the pre-prune state.,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
event_process.decision_ledger,event_process_intelligence_v1,event-process-intelligence-v1,8447f34,statsbomb_raw_prior,data/reference/event_process_model_decision_ledger.json,"{""n_models"": 22}",event-process intelligence: 0 promoted candidates (honest negative) per prior completion,verified_historical,statsbomb_event_process_catalog.json,none; superseded as the in-play modeling substrate by residual goal-intensity v1,prior in-play family; the residual phase is built on its verified terminal commit 8447f34,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
residual.decision_ledger,residual_goal_intensity_v1,residual-goal-intensity-v1,rg_20260627_155623_run1,statsbomb_raw_prior,data/reference/residual_goal_intensity_decision_ledger.json,"{""n_models"": 16, ""n_matches"": 58, ""n_test_rows_wdl"": 7376, ""present_matches_rederived"": 58, ""exact_intl_bridge"": 258}",W2 reference R0 best (pooled FC RPS 0.15263); 0 research candidates; honest NEGATIVE,verified_current,bridge.api_statsbomb_exact_v1;statsbomb.cache_audit;event_process.decision_ledger,the 58-match cohort is the live ceiling until the full StatsBomb pull is re-acquired,"ledger records n_matches=58; independently re-derived present matches (on-disk StatsBomb events INTERSECT exact intl bridge) = 58. They agree: the 58 is the live, reproducible cohort. 0 candidates promoted (honest negative).",research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
residual.snapshot_dataset,residual_goal_intensity_v1,residual-goal-intensity-v1,rg_20260627_155623_run1,statsbomb_raw_prior,data/processed/residual_goal_intensity/residual_goal_intensity_snapshots.csv,"{""n_snapshot_rows_on_disk"": null, ""documented_rows"": 7376, ""documented_matches"": 58}","7,376 international residual snapshot rows across 58 matches (per data card)",incomplete,residual.decision_ledger,rebuild via build_event_process_snapshots.py + build_residual_goal_intensity_dataset.py if the snapshot CSV is not materialised in this worktree,the materialised residual snapshot CSV is gitignored / not in a clean checkout; documented counts come from the data card + decision-ledger evidence,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
baseline.model_decision_ledger,baseline_gate,t2-baseline-gate,see VERSION.md,(pre-match research table),data/reference/model_decision_ledger.json,"{""present"": true}",pre-match baseline B0-B7 gate decisions,verified_historical,research_modeling_table,"none; separate pre-match plane, orthogonal to the in-play residual cohort",pre-match baseline plane; recorded for cross-program completeness,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
