feature_family,catalog_link,primary_source,source_timestamp_semantics,classification,point_in_time_replay_possible,required_provider_fields,required_cadence,required_max_latency,evidence_needed_before_live,notes
reference_match_state,feature_catalog:reference_state / cap:match_state,API-Football events (goals/cards/subs) + clock,match-clock minute only (elapsed); NO wall-clock event publication timestamp on StatsBomb-open / API-Football historical,potentially_live_with_verified_provider,yes_offline_matchclock_gated,"live score, elapsed minute, red-card count, sub count per team",<=1 update / 30s during match,<=15s after on-field event,measure API-Football live goal/card publication latency on >=20 live matches; confirm monotonic clock; verify regulation/ET split live,lowest-barrier family; score+time+players already drive the only validated in-play gains
remaining_regulation_time,feature_catalog:remaining_regulation_min,match clock,deterministic from kickoff + elapsed; no external publish lag,potentially_live_with_verified_provider,yes_offline_matchclock_gated,authoritative elapsed minute + period,continuous,<=5s clock skew,verify provider clock matches official; handle stoppage-time semantics live,purely derived; only risk is clock source disagreement live
cumulative_xg_state,feature_catalog:recent_chance(cum_xg_*) / cap:shot_xg,statsbomb_open per-shot xG (post-hoc),post-hoc model output; xG attached AFTER full match processing; no live publish time,blocked_by_missing_provider_contract,yes_offline_but_feature_lags_real_time,"per-shot xG with shot match-minute, delivered intra-match",per shot event,<=30s after shot,a LIVE xG provider contract (StatsBomb/Opta live xG) with measured per-shot delivery latency; StatsBomb-open is post-hoc & non-commercial -> not live-usable,research result: in-play xG did NOT beat score+Elo; low priority to make live
xg_momentum_acceleration,feature_catalog:xg_momentum/xg_acceleration,statsbomb_open per-shot xG windows,derived from post-hoc xG stream; inherits no-publish-time,blocked_by_missing_provider_contract,yes_offline_but_feature_lags_real_time,low-latency per-shot xG to compute trailing windows live,per shot event,<=30s after shot,same live-xG contract as cumulative_xg; plus stability test of windowed derivatives under live revision (xG values can be revised post-match),depends entirely on a live xG feed; revisions are a schema/latency risk
shot_events_counts,feature_catalog:shots_diff/shots_on_target / cap:shot_events,API-Football team-level shots + StatsBomb shot events,post-hoc team stats; API-Football live shot stats lag final reconciliation,blocked_by_latency,yes_offline_matchclock_gated,live team shot / shot-on-target counters,<=1 update / 60s,<=60s,measure API-Football live shot-stat latency & revision rate; team-stat counters are known to be revised during/after matches,counts (not locations) are obtainable; latency+revision are the open question
shot_location_xy,cap:shot_location / cap:shot_freeze_frame,StatsBomb open (xy + freeze frames),post-hoc spatial data; no live publication; API-Football has NO xy,blocked_by_missing_provider_contract,yes_offline_matchclock_gated,"live shot x,y coordinates",per shot event,<=30s after shot,a provider that delivers live shot xy (Opta/StatsBomb live); API-Football verified to LACK shot locations entirely,hard-blocked for live without a new spatial provider; offline replay fine
big_chance_proxy,cap:big_chance_proxy,statsbomb_open xG>=0.3 proxy,post-hoc xG threshold; not a provider 'big chance' flag,blocked_by_missing_provider_contract,yes_offline_matchclock_gated,live xG per shot (to threshold) or provider big-chance flag,per shot event,<=30s after shot,live xG feed OR a provider-native big-chance event with measured latency,proxy is fine offline; live needs the same xG dependency
possession_structure,feature_catalog:possession_territory / cap:possession_structure,StatsBomb event-derived possession; API-Football possession %,post-hoc; live possession % is a smoothed running stat with provider lag,blocked_by_latency,yes_offline_matchclock_gated,live possession share / passes,<=1 update / 60s,<=60s,measure live possession-stat latency & smoothing; confirm definition parity with the offline event-derived metric,definition mismatch (event-derived vs provider-smoothed) is a schema risk
field_tilt_territory,feature_catalog:field_tilt / cap:field_tilt / cap:territory_thirds,StatsBomb event locations,post-hoc spatial aggregation; no live publish time,blocked_by_no_point_in_time_history,yes_offline_matchclock_gated,live event locations (passes/touches by third),per event,<=60s,a live event-location feed; API-Football lacks granular locations -> needs spatial provider,offline replay solid; live needs granular location stream
box_entries,feature_catalog:box_entries / cap:box_entries,StatsBomb event locations,post-hoc location-derived count; no live publish time,blocked_by_no_point_in_time_history,yes_offline_matchclock_gated,live entries-into-box events or locations,per event,<=60s,live location/event feed defining box entries; verify definition parity,location-dependent -> same spatial-provider gap as field tilt
progression_attack_phase,cap:deep_progression / cap:attack_phase / cap:possession_to_shot_chain,StatsBomb event chains,post-hoc possession-chain reconstruction; no live publish time,blocked_by_no_point_in_time_history,yes_offline_matchclock_gated,live ordered event stream sufficient to rebuild possession chains,per event,<=60s,live full event stream + chain reconstruction validated against offline chains live,most data-hungry families; chain logic is offline-validated only
