venue,city,country,lat,lon,altitude_m
Mercedes-Benz Stadium,Atlanta,USA,33.755,-84.401,320
Gillette Stadium,Foxborough,USA,42.091,-71.264,30
AT&T Stadium,Arlington,USA,32.747,-97.093,180
Estadio Akron,Guadalajara,Mexico,20.681,-103.462,1566
NRG Stadium,Houston,USA,29.685,-95.411,15
Arrowhead Stadium,Kansas City,USA,39.049,-94.484,270
SoFi Stadium,Inglewood,USA,33.953,-118.339,30
Estadio Azteca,Mexico City,Mexico,19.303,-99.150,2200
Hard Rock Stadium,Miami Gardens,USA,25.958,-80.239,3
Estadio BBVA,Monterrey,Mexico,25.669,-100.244,500
MetLife Stadium,East Rutherford,USA,40.814,-74.074,5
Lincoln Financial Field,Philadelphia,USA,39.901,-75.168,10
Levi's Stadium,Santa Clara,USA,37.403,-121.970,9
Lumen Field,Seattle,USA,47.595,-122.332,50
BMO Field,Toronto,Canada,43.633,-79.418,80
BC Place,Vancouver,Canada,49.277,-123.112,5
